,,,Sqft,Rate,Rate+GST,Online Price,List Price
,24,90,15,350,367.5,4410,5512
,24,96,16,350,367.5,4704,5880
,24,102,17,350,367.5,4998,6247
,24,108,18,350,367.5,5292,6615
,24,114,19,350,367.5,5586,6982
,24,120,20,350,367.5,5880,7350
,24,126,21,350,367.5,6174,7717
,24,132,22,350,367.5,6468,8085
,24,138,23,350,367.5,6762,8452
,24,144,24,350,367.5,7056,8820
,24,150,25,350,367.5,7350,9187
,24,156,26,350,367.5,7644,9555
,24,162,27,350,367.5,7938,9922
,24,168,28,350,367.5,8232,10290
,24,174,29,350,367.5,8526,10657
,24,180,30,350,367.5,8820,11025
,36,0,0,350,367.5,0,0
,36,48,12,350,367.5,2439,3049
,36,54,13.5,350,367.5,3969,4961
,36,60,15,350,367.5,4410,5512
,36,66,16.5,350,367.5,4851,6063
,36,72,18,350,367.5,5292,6615
,36,78,19.5,350,367.5,5733,7166
,36,84,21,350,367.5,6174,7717
,36,90,22.5,350,367.5,6615,8268
,36,96,24,350,367.5,7056,8820
,36,102,25.5,350,367.5,7497,9371
,36,108,27,350,367.5,7938,9922
,36,114,28.5,350,367.5,8379,10473
,36,120,30,350,367.5,8820,11025
,36,126,31.5,350,367.5,9261,11576
,36,132,33,350,367.5,9702,12127
,36,138,34.5,350,367.5,10143,12678
,36,144,36,350,367.5,10584,13230
,36,150,37.5,350,367.5,11025,13781
,36,156,39,350,367.5,11466,14332
,36,162,40.5,350,367.5,11907,14883
,36,168,42,350,367.5,12348,15435
,36,174,43.5,350,367.5,12789,15986
,36,180,45,350,367.5,13230,16537
,48,0,0,350,367.5,0,0
,48,48,16,350,367.5,4704,5880
,48,54,18,350,367.5,5292,6615
,48,60,20,350,367.5,5880,7350
,48,66,22,350,367.5,6468,8085
,48,72,24,350,367.5,4879,6099
,48,78,26,350,367.5,7644,9555
,48,84,28,350,367.5,8232,10290
,48,90,30,350,367.5,8820,11025
,48,96,32,350,367.5,9408,11760
,48,102,34,350,367.5,9996,12495
,48,108,36,350,367.5,10584,13230
,48,114,38,350,367.5,11172,13965
,48,120,40,350,367.5,11760,14700
,48,126,42,350,367.5,12348,15435
,48,132,44,350,367.5,12936,16170
,48,138,46,350,367.5,13524,16905
,48,144,48,350,367.5,14112,17640
,48,150,50,350,367.5,14700,18375
,48,156,52,350,367.5,15288,19110
,48,162,54,350,367.5,15876,19845
,48,168,56,350,367.5,16464,20580
,48,174,58,350,367.5,17052,21315
,48,180,60,350,367.5,17640,22050
